#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,B,QT,Fumble
10,DEF 5X,DEF 5X,10,DEF 5X,DEF 15,DEF 15,DEF 15,PI  20,DEF 15,20,16,R
11,5,6,9,5,DEF 5,DEF 5,INT 18,OFF 10,DEF 5,12,-2,R
12,7,5,5,-4,OFF 10,OFF 10,OFF 10,OFF 10,OFF 10,11,F - 11,R
13,DEF 5,7,5,2,DEF 5,DEF 5X,DEF 5X,DEF 5X,F + 6,58,1,R
14,F - 1,-2,5,7,8,-2,DEF 5,42,INT 3,65,-8,R
15,9,3,,8,12,PI 5,QT,F + 33,INT 14,76,-4,R
16,-3,DEF 5,5,-3,OFF 5,OFF 5,OFF 5,OFF 5,OFF 5,10,-3,R
17,2,1,OFF 5,1,19,7,INT 12,48,QT,11,-10,R
18,13,-3,DEF 5,DEF 5,26,5,QT,DEF 5,PI 12,12,-14,R
19,DEF 15,DEF 15,18,DEF 15,35,6,PI 15,DEF 15,31*,15,-1,R
20,8,6,9*,-2,14,4,F + 13,35,DEF 5X,10,-6,R
21,B,F + 6,-3,6,5,8,INT 16,QT,12,20,-11,R
22,-1,5,6*,-1,13,6,,QT*,15,25,-5,R
23,5,8,8*,8,,9,,INT 23,5,20,-12,R
24,3,3,1,7,,,,INT 37,9*,19,-9,R
25,1,5,4,2,1*,,,,8*,11,-6,R
26,6,7,3,3,6*,9,,,QT,29,F - 3,L
27,-2,,F - 3,B,3,6,17,,11*,13,-3,L
28,OFF 5,OFF 5,OFF 5,OFF 5,16,F + 9,11,,30*,12,2,L
29,OFF 10,OFF 10,OFF 10,OFF 10,OFF 15,10,9,,QT,11,5,L
30,B,9,2,F + 5,15,6,14,,,14,-10,L
31,4,5,-2,B,-3,8,15,,7,10,-14,L
32,4,2,5*,1,7,11,13,,,12,-15,L
33,2,4,-1,B,*,3,11,,13*,17,-13,L
34,3,B*,,,-2,9,,,10*,11,-8,L
35,4,3,B*,4,-1,8,13,,,15,-9,L
36,3,4,5,1,4*,9,11,21,,13,-7,L
37,,5,8,5,9*,INT 3,15,26,,11,-9,L
38,,-1,7,9,F + 13,15,9,32,,18,-8,L
39,,7,DEF 5X,5,24,12,15,38,,11,-8,L
