#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,2,,,1,,,,,9
A-2,A,2,2,,,1,3,3
A-3,A,3,,2,,1,BLACK,,4,BLACK,BLACK
A-4,A,4,,,,,,INT 7,,33,10
A-5,A,5,1,,1,,(-7),INT 5,29
B-1,B,1,1,1,,1,,6,,,3
B-2,B,2,1,1,,,8,6,17
B-3,B,3,1,1,,,,6,,-2
B-4,B,4,1,1,,,,,,[TD]
B-5,B,5,1,1,1,,INT -1,,,,1
C-1,C,1,2,,1,,,,,,3
C-2,C,2,2,,1,,4
C-3,C,3,,,1,,,BLACK,7,,BLACK
C-4,C,4,,,1,2,,,,[TD],INT 15
C-5,C,5,1,,,2,(-6),,,INT 25,INT 6
D-1,D,1,2,,,,,,,,3
D-2,D,2,2,,,,4,,4
D-3,D,3,,,,2,,BLACK,INT 15,,13
D-4,D,4,2,,,2,,,20,BLACK
D-5,D,5,1,,,,(-5),,,INT 30,-12
E-1,E,1,,,,,,,,BLACK,3
E-2,E,2,,,,,4,6,,BLACK
E-3,E,3,,,,2,4,,8,,5
E-4,E,4,2,,,2,,,,INT 26
E-5,E,5,2,,,2,(-2),,20,20,-7
F-1,F,1,-4,-3,,-4,,6,,,19
F-2,F,2,,,,2,12,6,15
F-3,F,3,,,-5,,QT,QT,QT,QT,QT
F-4,F,4,2,,,2,[TD],,,46
F-5,F,5,1,,2,2,,,,QT,QT
