#,Formation,Sub,1,2,3,4,5,6,7,8,9
A-1,A,1,,,,-2,(-1),,,-3,
A-2,A,2,,(5),,-1,(0),(1),,-6,
A-3,A,3,,,,-1,,,,-2,
A-4,A,4,,,(4),,-1,-1,,QT,(8)
A-5,A,5,(1),,(3),,-1,-1,,INT 37,
B-1,B,1,(1),(0),,-1,-1,,BLACK,,
B-2,B,2,(1),(1),-3,-1,4,,,(10),
B-3,B,3,(1),(1),,-1,,(6),,,
B-4,B,4,(1),(4),(4),,,,,,
B-5,B,5,(1),,,,,,[TD],,[TD]
C-1,C,1,,,-4,,,(2),,-12,BLACK
C-2,C,2,,(4),-5,,,(3),,-17,
C-3,C,3,,,-5,(4),,,,-5,
C-4,C,4,,,,,,BLACK,(10),QT,BLACK
C-5,C,5,(2),,,,,,(10),INT 15,BLACK
D-1,D,1,7,,10,,,,-1,,
D-2,D,2,,,10,,,BLACK,-1,,
D-3,D,3,,(9),,,,,-1,-1,
D-4,D,4,(4),,,8,-1,INT 8,INT 13,INT 33,INT 12
D-5,D,5,,,,2,-1,-1,[TD],[TD],(3)
E-1,E,1,7,,,,5,,BLACK,BLACK,BLACK
E-2,E,2,,(11),,7,9,(5),,BLACK,
E-3,E,3,,,,9,3,(7),,,
E-4,E,4,,,,14,1,(8),INT 20,INT 25,INT 17
E-5,E,5,,,4,,2,(28),(20),,(19)
F-1,F,1,,,,(-2),-3,QT,QT,QT,QT
F-2,F,2,,-5,,10,8,,,QT,
F-3,F,3,(0),,,,8,,,[TD],
F-4,F,4,-2,10,10,,8,,(10),,(8)
F-5,F,5,,,-12,,6,-6,(10),(10),(8)
